miRNA,disease,reference
hsa-mir-328a,Bone Diseases,HMDD
hsa-mir-328a,Brain Injuries,HMDD
hsa-let-7i,Urethral Stricture,HMDD
hsa-let-7i,Acute Kidney Injury,HMDD
hsa-let-7i,Acute Coronary Syndrome,HMDD
hsa-let-7i,Melanoma,HMDD
hsa-let-7i,Urinary Bladder Neoplasms,HMDD
hsa-let-7i,Glioblastoma,HMDD
hsa-mir-483,Esophageal Neoplasms,HMDD
hsa-mir-483,Leukemia and Monocytic and Acute,HMDD
hsa-mir-483,Meningioma,HMDD
hsa-mir-483,Hypertension,HMDD
hsa-mir-483,Glioblastoma,HMDD
hsa-mir-483,Aortic Valve Disease,HMDD
hsa-mir-483,Dermatitis and Atopic,HMDD
hsa-mir-483,Myocardial Reperfusion Injury,HMDD
hsa-mir-483,Pulmonary Fibrosis,HMDD
hsa-mir-483,Osteoporosis and Postmenopausal,HMDD
hsa-mir-483,Cartilage Diseases,HMDD
hsa-mir-483,Osteosarcoma,HMDD
hsa-mir-483,Echinococcosis and Hepatic,HMDD
hsa-mir-873,Diabetes Mellitus and Type 2,HMDD
hsa-mir-873,Hypoxia,HMDD
hsa-mir-873,Corneal dystrophy and epithelial basement membrane,HMDD
hsa-mir-873,Polycystic Ovary Syndrome,HMDD
hsa-mir-873,Myocardial Reperfusion Injury,HMDD
hsa-mir-873,Granulomatosis with Polyangiitis,HMDD
hsa-mir-873,Glioma,HMDD
hsa-mir-873,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-873,Hemangioma and Cavernous,HMDD
hsa-mir-873,Parkinson Disease,HMDD
hsa-mir-873,Neuroblastoma,HMDD
hsa-mir-873,Diabetes and Gestational,HMDD
hsa-mir-369,breast cancer,HMDD
hsa-mir-369,Premature Birth,HMDD
hsa-mir-369,Osteoarthritis,HMDD
hsa-mir-369,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-369,Pulmonary Fibrosis,HMDD
hsa-mir-369,Infant Nutrition Disorders,HMDD
hsa-mir-421,Anxiety Disorders,HMDD
hsa-mir-421,Acute Lung Injury,HMDD
hsa-mir-421,Neurotoxicity Syndromes,HMDD
hsa-mir-421,Cholangiocarcinoma,HMDD
hsa-mir-421,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-421,Vitiligo,HMDD
hsa-mir-421,Arthritis and Rheumatoid,HMDD
hsa-mir-421,Ovarian Neoplasms,HMDD
hsa-mir-421,Liver Neoplasms,HMDD
hsa-mir-421,Uterine Cervical Neoplasms,HMDD
hsa-mir-421,Spinal Cord Injuries,HMDD
hsa-mir-103,Ovarian Neoplasms,HMDD
hsa-mir-103,Hypoxia,HMDD
hsa-mir-103,Autoimmune Diseases,HMDD
hsa-mir-103,Bone Diseases,HMDD
hsa-mir-103,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-103,Obesity,HMDD
hsa-mir-103,Leigh Disease,HMDD
hsa-mir-103,Adiposis Dolorosa,HMDD
hsa-mir-103,Osteoarthritis,HMDD
hsa-mir-103,breast cancer,HMDD
hsa-mir-103,Asthma,HMDD
hsa-mir-103,Atherosclerosis,HMDD
hsa-mir-103,Nasopharyngeal Carcinoma,HMDD
hsa-mir-103,ACTH-Secreting Pituitary Adenoma,HMDD
hsa-mir-103,Pancreatic Carcinoma,HMDD
hsa-mir-103,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-103,Fatty Liver,HMDD
hsa-mir-103,Muscular Atrophy,HMDD
hsa-mir-593,Sciatic Neuropathy,HMDD
hsa-mir-593,Hypertension and Pulmonary,HMDD
hsa-mir-593,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-593,Glioma,HMDD
hsa-mir-593,Glioblastoma,HMDD
hsa-mir-593,Stomach Neoplasms,HMDD
hsa-mir-593,lung cancer,HMDD
hsa-mir-593,Rectal Neoplasms,HMDD
hsa-mir-1224,Prostatic Neoplasms,HMDD
hsa-mir-1224,Cerebrovascular Disorders,HMDD
hsa-mir-1224,Pseudarthrosis,HMDD
hsa-mir-1224,Laryngeal Papilloma,HMDD
hsa-mir-1224,Polycystic Ovary Syndrome,HMDD
hsa-mir-1224,Leukemia and Myeloid and Acute,HMDD
hsa-mir-1224,Rectal Neoplasms,HMDD
hsa-mir-1224,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-1224,Ovarian Neoplasms,HMDD
hsa-mir-1224,Osteosarcoma,HMDD
hsa-mir-1224,Diabetic Retinopathy,HMDD
hsa-mir-1224,Acute Lung Injury,HMDD
hsa-mir-1224,Sepsis,HMDD
hsa-mir-1224,Acute Liver Injury,HMDD
hsa-mir-1224,Lumbosacral Spinal Root Avulsion,HMDD
hsa-mir-1224,Ischemic Stroke,HMDD
hsa-mir-1224,Neuralgia,HMDD
hsa-mir-1224,Keloid,HMDD
hsa-mir-1224,breast cancer,HMDD
hsa-mir-508,Osteosarcoma,HMDD
hsa-mir-508,Angelman Syndrome,HMDD
hsa-mir-508,Diabetes and Gestational,HMDD
hsa-mir-508,Colorectal Neoplasms,HMDD
hsa-mir-508,Esophageal Neoplasms,HMDD
hsa-mir-508,Intervertebral Disc Degeneration,HMDD
hsa-mir-508,Endometrial Neoplasms,HMDD
hsa-mir-508,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-508,lung cancer,HMDD
hsa-mir-508,Glioma,HMDD
hsa-mir-513a,Stomach Neoplasms,HMDD
hsa-mir-513a,lung cancer,HMDD
hsa-mir-513a,Urinary Bladder Neoplasms,HMDD
hsa-mir-513a,Carcinoma and Hepatocellular,HMDD
hsa-mir-513a,Colonic Neoplasms,HMDD
hsa-mir-513a,Cholangiocarcinoma,HMDD
hsa-mir-513a,Wilms Tumor,HMDD
hsa-mir-513a,Glioma,HMDD
hsa-mir-513a,Nasopharyngeal Neoplasms,HMDD
hsa-mir-513a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-513a,Ovarian Neoplasms,HMDD
hsa-mir-451a,Polycystic Ovary Syndrome,HMDD
hsa-mir-451a,Nerve Degeneration,HMDD
hsa-mir-451a,West Nile Fever,HMDD
hsa-mir-451a,Encephalitis and Japanese,HMDD
hsa-mir-451a,Death,HMDD
hsa-mir-451a,Granulomatosis with Polyangiitis,HMDD
hsa-mir-451a,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-451a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-451a,Enterocolitis and Necrotizing,HMDD
hsa-mir-451a,Brain Injuries and Traumatic,HMDD
hsa-mir-451a,Stomach Neoplasms,HMDD
hsa-mir-451a,Cardiomyopathies,HMDD
hsa-mir-451a,Colonic Neoplasms,HMDD
hsa-mir-451a,Cardiotoxicity,HMDD
hsa-mir-2,Thyroid Cancer and Papillary,HMDD
hsa-mir-129-2,Growth Disorders,HMDD
hsa-mir-129-2,Epilepsy and Temporal Lobe,HMDD
hsa-mir-129-2,Cholangiocarcinoma,HMDD
hsa-mir-1291,Endometrial Neoplasms,HMDD
hsa-mir-1291,Pancreatic Carcinoma,HMDD
hsa-mir-1291,Pigmentation Disorders,HMDD
hsa-mir-1291,Carcinogenesis,HMDD
hsa-mir-1291,Intervertebral Disc Degeneration,HMDD
hsa-mir-651,Liver Cirrhosis,HMDD
hsa-mir-651,breast cancer,HMDD
hsa-mir-1226,lung cancer,HMDD
hsa-mir-1226,Periodontitis,HMDD
hsa-mir-1226,Nasopharyngeal Carcinoma,HMDD
hsa-mir-153,Colonic Neoplasms,HMDD
hsa-mir-153,Liver Neoplasms,HMDD
hsa-mir-153,Neurotoxicity Syndromes,HMDD
hsa-mir-153,Congenital central hypoventilation syndrome,HMDD
hsa-mir-153,Brain Ischemia,HMDD
hsa-mir-153,Coronary Disease,HMDD
hsa-mir-153,Hyalinosis and Systemic,HMDD
hsa-mir-153,Brain Injuries,HMDD
hsa-mir-153,Stomach Neoplasms,HMDD
hsa-mir-153,Colorectal Neoplasms,HMDD
hsa-mir-153,Osteoarthritis,HMDD
hsa-mir-153,Mouth Neoplasms,HMDD
hsa-mir-153,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-153,Lupus Erythematosus and Systemic,HMDD
hsa-mir-153,Thyroid cancer and medullary,HMDD
hsa-mir-153,Thyroid Cancer and Papillary,HMDD
hsa-mir-153,Glioma,HMDD
hsa-mir-153,Cardiomegaly,HMDD
hsa-mir-153,Ischemic Stroke,HMDD
hsa-mir-153,Stress Disorders and Post-Traumatic,HMDD
hsa-mir-153,Melanoma,HMDD
hsa-mir-153,Renal Insufficiency and Chronic,HMDD
hsa-mir-153,Carcinoma and Renal Cell,HMDD
hsa-mir-153,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-153,Hearing Loss and Sensorineural,HMDD
hsa-mir-153,Autistic Disorder,HMDD
hsa-mir-153,Sepsis,HMDD
hsa-mir-153,Lung Injury,HMDD
hsa-mir-153,Nervous System Diseases,HMDD
hsa-mir-153,Spinal Cord Injuries,HMDD
hsa-mir-153,Nasopharyngeal Neoplasms,HMDD
hsa-mir-153,Urinary Bladder Neoplasms,HMDD
hsa-mir-153,pancreatic cancer,HMDD
hsa-mir-153,Thyroid Neoplasms,HMDD
hsa-mir-526b,Pulmonary Fibrosis,HMDD
hsa-mir-526b,Acute Kidney Injury,HMDD
hsa-mir-526b,Cardiotoxicity,HMDD
hsa-mir-618,lung cancer,HMDD
hsa-mir-618,Hypertrophy,HMDD
hsa-mir-618,Tuberculosis and Pulmonary,HMDD
hsa-mir-655,Stomach Neoplasms,HMDD
hsa-mir-655,Pre-Eclampsia,HMDD
hsa-mir-655,Ovarian Neoplasms,HMDD
hsa-mir-655,Retinoblastoma,HMDD
hsa-mir-655,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-655,Cystadenocarcinoma and Serous and Ovarian,HMDD
hsa-mir-655,Nasopharyngeal Neoplasms,HMDD
hsa-mir-770,Stomach Neoplasms,HMDD
hsa-mir-770,breast cancer,HMDD
hsa-mir-770,Pulmonary Fibrosis,HMDD
hsa-mir-770,Glioblastoma,HMDD
hsa-mir-940,Ischemic Stroke,HMDD
hsa-mir-940,Urinary Bladder Neoplasms,HMDD
hsa-mir-940,Abortion and Septic,HMDD
hsa-mir-940,Inflammation,HMDD
hsa-mir-940,Endometrial Neoplasms,HMDD
hsa-mir-940,Osteoarthritis,HMDD
hsa-mir-940,Keloid,HMDD
hsa-mir-940,Prostatic Neoplasms and Castration-Resistant,HMDD
hsa-mir-432,Premature Birth,HMDD
hsa-mir-432,COVID-19,HMDD
hsa-mir-432,Pancreatic Carcinoma,HMDD
hsa-mir-432,Glioblastoma,HMDD
hsa-mir-432,Prostatic Neoplasms,HMDD
hsa-mir-432,Nasopharyngeal Carcinoma,HMDD
hsa-mir-5590,Osteosarcoma,HMDD
hsa-mir-5590,Prostatic Neoplasms,HMDD
hsa-mir-5590,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-5590,Carcinoma and Hepatocellular,HMDD
hsa-mir-492,Carcinoma and Renal Cell,HMDD
hsa-mir-492,Melanoma,HMDD
hsa-mir-492,Prostatic Neoplasms,HMDD
hsa-mir-492,Endometrial Neoplasms,HMDD
hsa-mir-6791,breast cancer,HMDD
hsa-mir-23a,Nerve Degeneration,HMDD
hsa-mir-23a,Hematologic Neoplasms,HMDD
hsa-mir-23a,Sjogren's Syndrome,HMDD
hsa-mir-23a,Brain Injuries,HMDD
hsa-mir-23a,Atrophy,HMDD
hsa-mir-23a,Sexually Transmitted Diseases,HMDD
hsa-mir-23a,Achard-Thiers syndrome,HMDD
hsa-mir-23a,Epilepsy and Temporal Lobe,HMDD
hsa-mir-23a,Medulloblastoma,HMDD
hsa-mir-23a,Diabetic Nephropathies,HMDD
hsa-mir-23a,Anemia and Aplastic,HMDD
hsa-mir-23a,Tuberculosis and Pulmonary,HMDD
hsa-mir-23a,Osteosarcoma,HMDD
hsa-mir-23a,Graves Disease,HMDD
hsa-mir-23a,Subarachnoid Hemorrhage,HMDD
hsa-mir-23a,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-23a,Liver Diseases and Alcoholic,HMDD
hsa-mir-23a,Ovarian Neoplasms and High-Grade Serous,HMDD
hsa-mir-23a,Cerebral Hemorrhage,HMDD
hsa-mir-23a,Glioma,HMDD
hsa-mir-23a,Myasthenia Gravis,HMDD
hsa-mir-23a,Oligospermia,HMDD
hsa-mir-23a,Hepatitis B,HMDD
hsa-mir-23a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-23a,Brain Ischemia,HMDD
hsa-mir-23a,Myocardial Reperfusion Injury,HMDD
hsa-mir-23a,Hypertension and Pulmonary,HMDD
hsa-mir-23a,Cardiomegaly,HMDD
hsa-mir-23a,Liver Cirrhosis,HMDD
hsa-mir-23a,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-34,Arthritis and Rheumatoid,HMDD
hsa-mir-34,Disease,HMDD
hsa-mir-34,Cystic Fibrosis,HMDD
hsa-mir-34,Squamous Intraepithelial Lesions,HMDD
hsa-mir-34,Spherocytosis and Type 1,HMDD
hsa-mir-34,Corneal Endothelium   Failure,HMDD
hsa-mir-4,Osteoarthritis,HMDD
hsa-mir-34,Tauopathies,HMDD
hsa-mir-34,Cholesteatoma and Middle Ear,HMDD
hsa-mir-4,Chondrosarcoma,HMDD
hsa-mir-34,Osteosarcoma,HMDD
hsa-mir-34,Prostatic Neoplasms,HMDD
hsa-mir-34,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-34,Diabetes Mellitus and Type 2,HMDD
hsa-mir-34,Arthritis,HMDD
hsa-mir-34,Cataract,HMDD
hsa-mir-34,Endometriosis,HMDD
hsa-mir-34,Autographa californica multiple nuclear polyhedrosis virus,HMDD
hsa-mir-34c,Endometriosis,HMDD
hsa-mir-34c,Cardiovascular Diseases,HMDD
hsa-mir-34c,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-34c,Sialorrhea,HMDD
hsa-mir-34c,Mental Disorders,HMDD
hsa-mir-34c,Respiratory Syncytial Virus Infections,HMDD
hsa-mir-34c,Hypertension and Pulmonary,HMDD
hsa-mir-34c,Glioma,HMDD
hsa-mir-34c,Memory Disorders,HMDD
hsa-mir-34c,Femur Head Necrosis,HMDD
hsa-mir-34c,Acute Lung Injury,HMDD
hsa-mir-34c,Edwardsiella tarda,HMDD
hsa-mir-34c,Spinal Cord Injuries,HMDD
hsa-mir-34c,Premature Birth,HMDD
hsa-mir-34c,Arthritis and Rheumatoid,HMDD
hsa-mir-34c,Urinary Bladder Neoplasms,HMDD
hsa-mir-34c,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-34c,Neuralgia,HMDD
hsa-mir-34c,Endometrial Neoplasms,HMDD
hsa-mir-371a,Ovarian Neoplasms,HMDD
hsa-mir-371a,Necrosis,HMDD
hsa-mir-371a,Colorectal Neoplasms,HMDD
hsa-mir-371a,Rectal Neoplasms,HMDD
hsa-mir-371a,Liver Neoplasms,HMDD
hsa-mir-447a,Pancreatic Carcinoma,HMDD
hsa-mir-16-1,Prostatic Neoplasms,HMDD
hsa-mir-16-1,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-16-1,Osteosarcoma,HMDD
hsa-mir-125b-2,Infertility and Male,HMDD
hsa-mir-125b-2,Obesity,HMDD
hsa-mir-125b-2,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-125b-2,Cerebral Hemorrhage,HMDD
hsa-mir-125b-2,Urinary Bladder Neoplasms,HMDD
hsa-mir-125b-2,Prostatic Neoplasms,HMDD
hsa-mir-125b-2,Carcinoma and Hepatocellular,HMDD
hsa-mir-1287,Carcinoma and Renal Cell,HMDD
hsa-mir-1287,Hypoadrenocorticism and Familial,HMDD
hsa-mir-1287,breast cancer,HMDD
hsa-mir-1287,Grave Disease,HMDD
hsa-mir-1287,Pancreatic Carcinoma,HMDD
hsa-mir-1287,Hepatitis B and Chronic,HMDD
hsa-mir-1287,Uterine Cervical Neoplasms,HMDD
hsa-mir-1245a,Thyroid Neoplasms,HMDD
hsa-mir-1245a,lung cancer,HMDD
hsa-mir-448,Colonic Neoplasms,HMDD
hsa-mir-448,Prostatic Neoplasms,HMDD
hsa-mir-448,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-448,Hodgkin Disease,HMDD
hsa-mir-448,Heart Failure,HMDD
hsa-mir-448,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-448,Myocardial Reperfusion Injury,HMDD
hsa-mir-448,Neuralgia,HMDD
hsa-mir-448,Spinal Cord Injuries,HMDD
hsa-mir-448,Brain Ischemia,HMDD
hsa-mir-487a,lung cancer,HMDD
hsa-mir-487a,breast cancer,HMDD
hsa-mir-183c,Osteosarcoma,HMDD
hsa-mir-29b-1,Asthma,HMDD
hsa-mir-29b-1,breast cancer,HMDD
hsa-mir-29b-1,Multiple Sclerosis,HMDD
hsa-mir-29b-1,Colorectal Neoplasms,HMDD
hsa-mir-29b-1,Cicatrix and Hypertrophic,HMDD
hsa-mir-1290,Pre-Eclampsia,HMDD
hsa-mir-1290,Esophageal Neoplasms,HMDD
hsa-mir-1290,Muscular Atrophy,HMDD
hsa-mir-1290,Leukemia and Myeloid and Acute,HMDD
hsa-mir-1290,Liver Cirrhosis,HMDD
hsa-mir-1290,Liver Neoplasms,HMDD
hsa-mir-376c,Urinary Bladder Neoplasms,HMDD
hsa-mir-376c,Holoprosencephaly 7,HMDD
hsa-mir-376c,Ovarian Neoplasms,HMDD
hsa-mir-376c,Reperfusion Injury and Renal Ischemia,HMDD
hsa-mir-376c,Carcinoma and Hepatocellular,HMDD
hsa-mir-376c,Neuroblastoma,HMDD
hsa-mir-2392,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-2392,Ehlers-Danlos Syndrome and musculocontractural type 1,HMDD
hsa-mir-2392,Keloid,HMDD
hsa-mir-5787,Carcinoma and Hepatocellular,HMDD
hsa-mir-3916,Ehlers-Danlos Syndrome and musculocontractural type 1,HMDD
hsa-mir-3916,Fibrosis,HMDD
hsa-mir-663a,Cholestasis,HMDD
hsa-mir-663a,Fibrosis,HMDD
hsa-mir-663a,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-663a,Bronchopulmonary Dysplasia,HMDD
hsa-mir-152,Osteoporosis,HMDD
hsa-mir-152,Vitreoretinopathy and Proliferative,HMDD
hsa-mir-152,Hand and Foot and Mouth Disease,HMDD
hsa-mir-152,Osteoarthritis,HMDD
hsa-mir-152,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-152,Diabetes Mellitus,HMDD
hsa-mir-152,Depression,HMDD
hsa-mir-152,Chronic Pain,HMDD
hsa-mir-152,Reperfusion Injury and Renal Ischemia,HMDD
hsa-mir-152,Myocardial Infarction,HMDD
hsa-mir-152,Colitis,HMDD
hsa-mir-152,Endometrial Neoplasms,HMDD
hsa-mir-152,Lymphoma and Non-Hodgkin,HMDD
hsa-mir-152,Cardiotoxicity,HMDD
hsa-mir-152,Cartilage Diseases,HMDD
hsa-mir-152,Liver Cirrhosis,HMDD
hsa-mir-152,Neuralgia,HMDD
hsa-mir-152,Ovarian Neoplasms,HMDD
hsa-mir-152,Acute Kidney Injury,HMDD
hsa-mir-99b,Leukemia,HMDD
hsa-mir-99b,Brain Ischemia,HMDD
hsa-mir-99b,Urinary Bladder Neoplasms,HMDD
hsa-mir-99b,Melanoma,HMDD
hsa-mir-99b,Cardiomyopathies,HMDD
hsa-mir-99b,Osteoporosis,HMDD
hsa-mir-99b,Osteoarthritis,HMDD
hsa-mir-1202,Arthritis and Rheumatoid,HMDD
hsa-mir-1202,Fibrosis,HMDD
hsa-mir-1202,Histiocytic Sarcoma,HMDD
hsa-mir-6133,Anemia and Aplastic,HMDD
hsa-mir-6133,Fibrosis,HMDD
hsa-mir-1228,Hepatitis B and Chronic,HMDD
hsa-mir-1228,Fibrosis,HMDD
hsa-mir-1228,Norrie disease,HMDD
hsa-mir-1228,Diabetic Nephropathies,HMDD
hsa-mir-1228,Liver Neoplasms,HMDD
hsa-mir-1228,lung cancer,HMDD
hsa-mir-769,Lung Diseases and Interstitial,HMDD
hsa-mir-769,Uterine Cervical Neoplasms,HMDD
hsa-mir-769,breast cancer,HMDD
hsa-mir-769,Urinary Bladder Neoplasms,HMDD
hsa-mir-133,Prostatic Neoplasms,HMDD
hsa-mir-133,Lupus Nephritis,HMDD
hsa-mir-133,Diabetic Nephropathies,HMDD
hsa-mir-133,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-133,Myocardial Reperfusion Injury,HMDD
hsa-mir-133,Renal Insufficiency and Chronic,HMDD
hsa-mir-136,Heart Diseases,HMDD
hsa-mir-136,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-136,Pneumonia and Mycoplasma,HMDD
hsa-mir-136,Dehydration,HMDD
hsa-mir-136,Granulomatosis with Polyangiitis,HMDD
hsa-mir-136,Adrenocorticotropic hormone deficiency,HMDD
hsa-mir-136,Acute Lung Injury,HMDD
hsa-mir-136,Ovarian Neoplasms,HMDD
hsa-mir-136,Urinary Bladder Neoplasms,HMDD
hsa-mir-136,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-136,Tuberous Sclerosis 1,HMDD
hsa-mir-136,Epilepsy and Temporal Lobe,HMDD
hsa-mir-136,Diabetes Mellitus,HMDD
hsa-mir-136,Fibrosis and Renal,HMDD
hsa-mir-136,Neuralgia,HMDD
hsa-mir-136,Hepatitis B,HMDD
hsa-mir-136,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-136,Melanoma,HMDD
hsa-mir-136,Uterine Cervical Neoplasms,HMDD
hsa-mir-542,Head and Neck Neoplasms,HMDD
hsa-mir-542,Heart Diseases,HMDD
hsa-mir-542,Anodontia,HMDD
hsa-mir-542,Reinjuries,HMDD
hsa-mir-542,Depressive Disorder and Major,HMDD
hsa-mir-542,Urinary Bladder Neoplasms,HMDD
hsa-mir-542,Heart Failure,HMDD
hsa-mir-542,Dmd-Associated Dilated Cardiomyopathy,HMDD
hsa-mir-542,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-542,Glioblastoma,HMDD
hsa-mir-542,Hyperlipidemias,HMDD
hsa-mir-542,Retinitis,HMDD
hsa-mir-542,Diabetic Retinopathy,HMDD
hsa-mir-542,Silicotuberculosis,HMDD
hsa-mir-1a,breast cancer,HMDD
hsa-mir-1a,Insulin Resistance,HMDD
hsa-mir-1a,Bone Diseases,HMDD
hsa-mir-731,Diabetic Nephropathies,HMDD
hsa-mir-731,Heart Diseases,HMDD
hsa-mir-802,Craniocerebral Trauma,HMDD
hsa-mir-802,Colonic Neoplasms,HMDD
hsa-mir-802,Pancreatitis,HMDD
hsa-mir-802,Inflammatory Bowel Diseases,HMDD
hsa-mir-802,Acute Lung Injury,HMDD
hsa-mir-802,Nephrotic Syndrome,HMDD
hsa-mir-802,Myocardial Infarction,HMDD
hsa-mir-497b,Esophageal Neoplasms,HMDD
hsa-mir-125b-1,Brain Injuries,HMDD
hsa-mir-196b,Cardiotoxicity,HMDD
hsa-mir-196b,Tuberous Sclerosis,HMDD
hsa-mir-196b,Mesothelioma,HMDD
hsa-mir-196b,Prostatic Neoplasms,HMDD
hsa-mir-196b,Acute Lung Injury,HMDD
hsa-mir-196b,Alzheimer Disease,HMDD
hsa-mir-196b,breast cancer,HMDD
hsa-mir-196b,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-196b,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-196b,Hydatidiform Mole,HMDD
hsa-mir-196,Cholangiocarcinoma,HMDD
hsa-mir-1225,Keloid,HMDD
hsa-mir-1225,Osteosarcoma,HMDD
hsa-mir-1225,Glioblastoma,HMDD
hsa-mir-1225,Glioma,HMDD
hsa-mir-1225,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-1225,Pancreatic Carcinoma,HMDD
hsa-mir-422a,Diabetic Nephropathies,HMDD
hsa-mir-422a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-422a,Carcinoma and Hepatocellular,HMDD
hsa-mir-422a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-422a,Thyroid Cancer and Papillary,HMDD
hsa-mir-422a,Thyroid Neoplasms,HMDD
hsa-mir-1303,Stomach Neoplasms,HMDD
hsa-mir-1303,Osteoporosis,HMDD
hsa-mir-1303,Liver Neoplasms,HMDD
hsa-mir-1303,Cardiotoxicity,HMDD
hsa-mir-1303,Osteosarcoma,HMDD
hsa-mir-1303,Tuberculosis,HMDD
hsa-mir-1278,Osteosarcoma,HMDD
hsa-mir-1278,Glioma,HMDD
hsa-mir-1278,Stomach Neoplasms,HMDD
hsa-mir-1278,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-1278,Thyroid Cancer and Papillary,HMDD
hsa-mir-23a,Aortic Aneurysm and Abdominal,HMDD
hsa-mir-99a,Cardiomyopathies,HMDD
hsa-mir-99a,Mitochondrial Diseases,HMDD
hsa-mir-99a,Bone Diseases,HMDD
hsa-mir-99a,Obesity,HMDD
hsa-mir-99a,Insulin Resistance,HMDD
hsa-mir-99a,Muscular Atrophy,HMDD
hsa-mir-99a,Duane Retraction Syndrome,HMDD
hsa-mir-99a,Hepatolenticular Degeneration,HMDD
hsa-mir-99a,Allergic Inflammation,HMDD
hsa-mir-99a,Down Syndrome,HMDD
hsa-mir-99a,Urinary Bladder Neoplasms,HMDD
hsa-mir-99a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-99a,Retinoblastoma,HMDD
hsa-mir-99a,Asthma,HMDD
hsa-mir-99a,Spinal Cord Injuries,HMDD
hsa-mir-99a,Inflammation,HMDD
hsa-mir-99a,Encephalomyelitis and Autoimmune and Experimental,HMDD
hsa-mir-99a,Diabetic Nephropathies,HMDD
hsa-mir-99a,Lupus Erythematosus and Systemic,HMDD
hsa-mir-346,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-346,Leukemia,HMDD
hsa-mir-346,Bone Diseases,HMDD
hsa-mir-346,Leishmaniasis,HMDD
hsa-mir-346,Inflammatory Bowel Diseases,HMDD
hsa-mir-346,Colitis,HMDD
hsa-mir-346,Carcinoma and Hepatocellular,HMDD
hsa-mir-346,Carcinoma and Renal Cell,HMDD
hsa-mir-346,Cholangitis and Sclerosing and Primary,HMDD
hsa-mir-346,Stomach Neoplasms,HMDD
hsa-mir-346,Thyroiditis and Autoimmune,HMDD
hsa-mir-346,Osteoarthritis,HMDD
hsa-mir-346,Myocardial Reperfusion Injury,HMDD
hsa-mir-346,Osteosarcoma,HMDD
hsa-mir-506,Inflammatory Bowel Diseases,HMDD
hsa-mir-506,Colitis,HMDD
hsa-mir-506,Angelman Syndrome,HMDD
hsa-mir-506,Testicular Diseases,HMDD
hsa-mir-506,High Grade Ovarian Neoplasms,HMDD
hsa-mir-506,Glioma,HMDD
hsa-mir-506,Thyroid Cancer and Papillary,HMDD
hsa-mir-506,Neuralgia,HMDD
hsa-mir-506,Asthma,HMDD
hsa-mir-506,Retinoblastoma,HMDD
hsa-mir-506,Cholangitis and Sclerosing and Primary,HMDD
hsa-mir-506,Laryngeal Neoplasms,HMDD
hsa-mir-506,Myocardial Reperfusion Injury,HMDD
hsa-mir-506,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-506,Urinary Bladder Neoplasms,HMDD
hsa-mir-339,Colorectal Neoplasms,HMDD
hsa-mir-339,Intestinal Diseases,HMDD
hsa-mir-339,Glioma,HMDD
hsa-mir-339,Polycystic Ovary Syndrome,HMDD
hsa-mir-339,Osteoporosis,HMDD
hsa-mir-339,Laryngeal Neoplasms,HMDD
hsa-mir-339,Atrial Fibrillation,HMDD
